price,rooms,area,market,building_type,building_material,year_built,heating,kitchen_type,property_condition,form_of_ownership,district_result,distance_from_center,floor_of_flat,balconies,parking,basement_storage_unit,lift,smart home,air conditioning,rooms_to_area_ratio
950000,3,57.3,Primary,Apartment building,No data,2024.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Krowodrza,1.6,0,Yes,Yes,No_data,No_data,No_data,Yes,0.05235602094240838
710000,3,50.0,Secondary,Apartment building,No data,2024.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Krowodrza,1.6,1,Yes,Yes,No_data,Yes,No_data,No_data,0.06
1090000,4,70.0,Secondary,Tenement,No data,2002.136017628205,Central city heating,Kitchenette,7.0,3.7804203539823007,Krowodrza,1.6,3,No_data,No_data,Yes,No_data,No_data,No_data,0.05714285714285714
1090200,4,69.0,Primary,Apartment building,No data,2025.0,Central city heating,Kitchenette,5.0,4.0,Podgórze Duchackie,4.0,7,Yes,Yes,Yes,Yes,No_data,No_data,0.057971014492753624
749800,2,46.0,Primary,Other/ No data,No data,2026.0,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,1,Yes,Yes,No_data,No_data,No_data,No_data,0.043478260869565216
850000,2,51.0,Secondary,Apartment building,"Mixed construction, other",2002.136017628205,Central city heating,Bright kitchen,3.0,4.0,Grzegórzki,1.15,1,Yes,No_data,Yes,No_data,No_data,No_data,0.0392156862745098
862920,2,50.76,Primary,Other/ No data,No data,2026.0,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,7,Yes,Yes,No_data,No_data,No_data,No_data,0.039401103230890466
1040000,3,62.3,Secondary,Apartment building,Brick,1998.0,Gas heating,Separate kitchen,3.0,4.0,Krowodrza,1.6,2,Yes,No_data,Yes,No_data,No_data,No_data,0.048154093097913325
662745,2,39.1,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.0,4.0,Prądnik Biały,3.6,2,Yes,Yes,No_data,Yes,Yes,No_data,0.05115089514066496
935824,2,50.86,Primary,New construction,"Concrete, reinforced concrete",2025.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,4,Yes,Yes,Yes,Yes,No_data,No_data,0.039323633503735744
797000,4,62.0,Secondary,Other/ No data,No data,2002.136017628205,Central city heating,Bright kitchen,7.0,4.0,Podgórze,3.6,0,Yes,No_data,Yes,No_data,No_data,No_data,0.06451612903225806
520000,2,37.0,Secondary,Apartment building,No data,1978.0,Central city heating,Kitchenette,7.0,3.7804203539823007,Nowa Huta,12.9,7,No_data,No_data,No_data,Yes,No_data,No_data,0.05405405405405406
619731,1,32.79,Primary,New construction,"Concrete, reinforced concrete",2025.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,1,Yes,Yes,Yes,No_data,No_data,No_data,0.030497102775236352
1699000,3,81.0,Secondary,Tenement,No data,1911.0,Other/ no data,Kitchenette,8.0,4.0,Stare Miasto,0.4,1,Yes,No_data,No_data,No_data,No_data,No_data,0.037037037037037035
1215000,2,48.0,Secondary,Tenement,Brick,1950.0,Gas heating,Separate kitchen,8.0,4.0,Stare Miasto,0.4,2,No_data,No_data,Yes,Yes,No_data,No_data,0.041666666666666664
781935,2,47.39,Primary,Other/ No data,No data,2026.0,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,3,Yes,Yes,No_data,Yes,No_data,No_data,0.0422029964127453
588500,1,34.0,Secondary,Other/ No data,No data,2009.0,Other/ no data,Bright kitchen,5.859567901234568,3.7804203539823007,Nowa Huta,12.9,7,Yes,No_data,No_data,Yes,No_data,No_data,0.029411764705882353
847350,3,62.8,Secondary,Apartment building,"Concrete, reinforced concrete",2024.0,Central city heating,Kitchenette,5.0,4.0,Podgórze,3.6,7,Yes,Yes,No_data,Yes,No_data,No_data,0.04777070063694268
649000,3,56.11,Secondary,Apartment building,"Mixed construction, other",1970.0,Central city heating,Kitchenette,2.0,4.0,Podgórze Duchackie,4.0,2,Yes,No_data,Yes,Yes,No_data,No_data,0.053466405275351986
1083005,4,67.9,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.0,4.0,Prądnik Biały,3.6,2,Yes,No_data,No_data,Yes,Yes,No_data,0.0589101620029455
620000,1,33.0,Secondary,Tenement,Brick,1920.0,Gas heating,Bright kitchen,3.0,4.0,Stare Miasto,0.4,0,Yes,No_data,Yes,No_data,No_data,No_data,0.030303030303030304
1450000,4,88.0,Secondary,New construction,No data,2022.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Swoszowice,5.6,2,Yes,No_data,No_data,No_data,No_data,Yes,0.045454545454545456
599000,2,41.0,Secondary,Apartment building,"Mixed construction, other",2010.0,Central city heating,Kitchenette,8.0,4.0,Nowa Huta,12.9,3,Yes,No_data,No_data,Yes,No_data,No_data,0.04878048780487805
1199000,4,95.36,Secondary,Apartment building,No data,2024.0,Central city heating,Kitchenette,10.0,4.0,Wzgórza Krzesławickie,10.8,4,Yes,Yes,Yes,Yes,No_data,No_data,0.04194630872483222
550000,2,36.4,Secondary,Apartment building,H-frame,1965.0,Central city heating,Separate kitchen,2.0,4.0,Grzegórzki,1.15,2,Yes,No_data,Yes,No_data,No_data,No_data,0.054945054945054944
445000,1,28.33,Secondary,Apartment building,Large slab,1986.0,Central city heating,Separate kitchen,9.0,4.0,Czyżyny,5.2,9,No_data,No_data,Yes,No_data,No_data,No_data,0.03529827038475115
883000,2,52.35,Primary,Apartment building,No data,2024.0,Central city heating,Kitchenette,10.0,3.7804203539823007,Dębniki,4.5,1,Yes,Yes,Yes,Yes,No_data,No_data,0.038204393505253106
619000,3,47.0,Secondary,Apartment building,No data,1979.0,Central city heating,Separate kitchen,2.0,2.0,Nowa Huta,12.9,7,Yes,No_data,Yes,Yes,No_data,No_data,0.06382978723404255
1072968,3,68.78,Primary,Apartment building,"Mixed construction, other",2026.0,Central city heating,Kitchenette,8.0,3.0,Łagiewniki-Borek Fałęcki,3.5,6,Yes,Yes,Yes,Yes,No_data,No_data,0.043617330619366096
930000,3,57.73,Secondary,Apartment building,No data,2025.0,Central city heating,Kitchenette,5.859567901234568,4.0,Podgórze Duchackie,4.0,2,Yes,Yes,No_data,Yes,No_data,No_data,0.05196604884808592
958000,3,55.87,Secondary,Apartment building,Brick,2018.0,Central city heating,Kitchenette,5.859567901234568,3.7804203539823007,Podgórze,3.6,2,Yes,Yes,Yes,Yes,No_data,No_data,0.05369608018614641
1446120,4,80.34,Primary,Apartment building,No data,2025.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,2,Yes,Yes,No_data,Yes,No_data,No_data,0.04978839930296241
1457590,4,82.0,Secondary,Apartment building,"Mixed construction, other",2018.0,Central city heating,Kitchenette,8.0,4.0,Krowodrza,1.6,3,Yes,Yes,No_data,No_data,No_data,Yes,0.04878048780487805
365000,1,23.78,Secondary,Apartment building,No data,2002.136017628205,Central city heating,Kitchenette,9.0,3.7804203539823007,Nowa Huta,12.9,5,No_data,No_data,No_data,Yes,No_data,No_data,0.04205214465937763
650000,2,50.1,Secondary,Other/ No data,No data,1980.0,Other/ no data,Separate kitchen,5.859567901234568,3.7804203539823007,Podgórze,3.6,4,Yes,No_data,Yes,Yes,No_data,No_data,0.03992015968063872
